,Inspection_id,DBA_Name,Risk,Address,Zip,Inspection_Date,Results,Latitude,Longitude
151,2262097,A.P. DELI INC. XI,Risk 1 (High),1759 E 75TH ST ,60649,2019-02-15T00:00:00,Pass w/ Conditions,41.75871102,-87.58110034
152,2262104,"BROADWAY GRILL, INC.",Risk 1 (High),4800 N BROADWAY ,60640,2019-02-15T00:00:00,Pass w/ Conditions,41.96908332,-87.65981945
153,2262103,QUESADILLA MONARCA,Risk 1 (High),3645 1/2 W 83RD PL ,60652,2019-02-15T00:00:00,Pass w/ Conditions,41.74128282,-87.71382962
154,2262095,AIN'T SHE SWEET CAFE BEVERLY,Risk 1 (High),9920 S WESTERN AVE ,60643,2019-02-15T00:00:00,Pass,41.71301334,-87.68196971
155,2262090,BIRRIERIA Y CARNITAS EL GALLITO,Risk 1 (High),7021 N CLARK ST ,60626,2019-02-15T00:00:00,Pass w/ Conditions,42.00967499,-87.67397033
156,2262089,THE GLOBE PUB,Risk 1 (High),1934 W IRVING PARK RD ,60613,2019-02-15T00:00:00,Pass w/ Conditions,41.9542799,-87.67773217
157,2262087,HOME RUN INN PIZZERIA,Risk 1 (High),3211-3215 N SHEFFIELD AVE ,60657,2019-02-15T00:00:00,Pass,41.94029041,-87.65397145
158,2262086,KAM FUNG RESTAURANT,Risk 1 (High),216 W 22ND PL ,60616,2019-02-15T00:00:00,Fail,41.85227106,-87.63272836
159,2262085,SUBWAY,Risk 1 (High),1300 W CERMAK RD ,60608,2019-02-15T00:00:00,Pass w/ Conditions,41.85256485,-87.65878715
160,2262082,MAY ST. RESTAURANT,Risk 1 (High),1146 W CERMAK RD ,60608,2019-02-15T00:00:00,No Entry,41.85262495,-87.65491858
161,2262079,Q'S TIPS AND WINGS,Risk 1 (High),2517 W 79TH ST ,60652,2019-02-15T00:00:00,Pass w/ Conditions,41.74988283,-87.68602348
162,2262076,JOJO'S MILK BAR,Risk 1 (High),23 W HUBBARD ST ,60654,2019-02-15T00:00:00,Pass w/ Conditions,41.88994129,-87.62887635
163,2262081,JANSON'S DRIVE IN,Risk 1 (High),9900 S WESTERN AVE ,60643,2019-02-15T00:00:00,Pass w/ Conditions,41.7135699,-87.68198572
164,2262075,JOJO'S MILK BAR,Risk 1 (High),23 W HUBBARD ST ,60654,2019-02-15T00:00:00,Pass w/ Conditions,41.88994129,-87.62887635
165,2262061,RISE UP NUTRITION,Risk 2 (Medium),2909 N BROADWAY ,60657,2019-02-15T00:00:00,Pass,41.93538701,-87.64409601
166,2262056,LOU MITCHELL'S,Risk 1 (High),565 W JACKSON BLVD ,60661,2019-02-15T00:00:00,Fail,41.87790422,-87.64219482
167,2262045,SPANGLISH MEXICAN KITCHEN INC.,Risk 1 (High),555 S STATE ST ,60605,2019-02-15T00:00:00,Pass w/ Conditions,41.87467595,-87.62746711
168,2262043,SUBWAY  5183,Risk 1 (High),333 W NORTH AVE ,60610,2019-02-15T00:00:00,Pass w/ Conditions,41.91101315,-87.63801771
169,2262040,NOOKIES CAFE & RESTAURANT,Risk 1 (High),1100 W BRYN MAWR AVE ,60660,2019-02-15T00:00:00,Pass w/ Conditions,41.98376648,-87.65811162
170,2262039,STEAK & EGGER,Risk 1 (High),1174 W CERMAK RD ,60608,2019-02-15T00:00:00,Pass w/ Conditions,41.85260827,-87.6559632
