Inspection_id,DBA_Name,Risk,Address,Results,Inspection_Date,ratings
2262021,"POTBELLY SANDWICH WORKS LLC","Risk 1 (High)","520 N MICHIGAN AVE ","Pass w/ Conditions",2019-02-14T00:00:00,4
2262013,"BLAZE IL STORE 1 LLC.","Risk 2 (Medium)","953 W BELMONT AVE ","Pass w/ Conditions",2019-02-14T00:00:00,4.5
2262030,"TACO BELL","Risk 1 (High)","3509 N HARLEM AVE ","Pass w/ Conditions",2019-02-14T00:00:00,3.8
2262022,MAKO,"Risk 1 (High)","731 W LAKE ST ",Fail,2019-02-14T00:00:00,4.6
2262016,"POZOLERIA IGUALA IN CHICAGO INC.","Risk 1 (High)","3835 W FULLERTON AVE ","Pass w/ Conditions",2019-02-14T00:00:00,4.1
2262006,POPEYES,"Risk 2 (Medium)","11350 S HALSTED ST ","Pass w/ Conditions",2019-02-14T00:00:00,2.9
2262008,SUBWAY,"Risk 1 (High)","2759 W CERMAK RD ",Pass,2019-02-14T00:00:00,3.2
2262001,"GORDO'S TAMALES","Risk 1 (High)","2811 W 55TH ST ","Pass w/ Conditions",2019-02-14T00:00:00,4.2
2261999,"GORDO TAMALES","Risk 1 (High)","2811 W 55TH ST ","Out of Business",2019-02-14T00:00:00,4.2
2262015,"CAPT'N NEMO","Risk 1 (High)","7367 N CLARK ST ",Fail,2019-02-14T00:00:00,4.5
2262000,"THE DOG HOUSE GRILL","Risk 1 (High)","1534 N WELLS ST ","Pass w/ Conditions",2019-02-14T00:00:00,3.9
2261993,"LA BARCA EL TACONAZO","Risk 1 (High)","4124 W NORTH AVE ","Pass w/ Conditions",2019-02-14T00:00:00,4.1
